word,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
びっくり,0,0,0,0,0,0,0,0,0,0
そろばん,0,0,0,0,0,0,0,0,0,1
放棄する,0,0,0,1,0,1,0,1,0,0
放棄された,1,0,0,1,0,1,0,1,0,0
放棄,1,0,0,1,0,1,0,1,1,0
和らぐ,0,0,0,0,0,0,0,0,0,0
軽減,0,0,0,0,0,0,0,0,0,0
アバ,0,0,0,0,0,0,1,0,0,0
修道院長,0,0,0,0,0,0,0,0,0,1
略す,0,0,0,0,0,0,0,0,0,0
略語,0,0,0,0,0,0,0,0,0,0
腹部,0,0,0,0,0,0,0,0,0,0
腹部,0,0,0,0,0,0,0,0,0,0
拉致,0,0,0,1,0,1,0,1,1,0
異常な,0,0,0,0,0,1,0,0,0,0
収差,0,0,1,0,0,1,0,0,0,0
停止,0,0,0,0,0,0,0,0,0,0
嫌う,1,0,1,1,0,1,0,0,0,0
忌まわしい,1,0,1,1,0,1,0,0,0,0
従う,0,0,0,0,0,0,0,0,0,0
能力,0,0,0,0,0,0,1,0,0,0
卑劣な,0,0,1,0,0,1,0,0,0,0
アブレーション,0,0,0,0,0,0,0,0,0,0
燃える,0,0,0,0,0,0,0,0,0,0
異常な,0,0,1,0,0,1,0,0,0,0
乗って,0,0,0,0,0,0,0,0,0,0
住居,0,0,0,0,0,0,0,0,0,0
廃止する,1,0,0,0,0,1,0,0,0,0
廃止,0,0,0,0,0,1,0,0,0,0
忌まわしい,0,0,1,1,0,1,0,0,0,0
憎悪,1,0,1,1,0,1,0,0,0,0
アボリジニの,0,0,0,0,0,0,0,0,0,0
アボート,0,0,0,0,0,1,0,0,0,0
中絶,0,0,1,1,0,1,0,1,0,0
流産,0,0,0,0,0,1,0,1,0,0
たくさん,0,0,0,0,0,0,0,0,0,0
前述した,0,0,0,0,0,0,1,0,0,0
摩耗,0,0,0,0,0,1,0,0,0,0
外国,0,0,0,0,0,0,0,0,0,0
廃止する,0,0,0,0,0,1,0,0,0,0
突然,0,0,0,0,0,0,0,0,1,0
突然,0,0,0,0,0,0,0,0,0,0
膿瘍,0,0,0,0,0,1,0,1,0,0
不在,0,0,0,1,0,1,0,1,0,0
不在,0,0,0,0,0,1,0,1,0,0
不在者,0,0,0,0,0,1,0,1,0,0
欠席主義,0,0,0,0,0,1,0,0,0,0
アブサン,0,0,0,0,0,0,0,0,0,0
絶対の,0,0,0,0,0,0,1,0,0,0
赦免,0,0,0,0,1,0,1,0,0,1
吸収された,0,0,0,0,0,0,1,0,0,0
吸収性,0,0,0,0,0,0,0,0,0,0
吸収する,0,0,0,0,0,0,0,0,0,0
吸収,0,0,0,0,0,0,0,0,0,0
控える,0,0,0,0,0,0,0,0,0,0
棄権,0,0,0,0,0,0,0,0,0,0
禁欲,0,0,0,0,0,0,0,0,0,0
概要,0,0,0,0,0,0,0,0,0,0
抽象化,0,0,0,0,0,0,0,0,0,0
ばかげた,0,0,0,0,0,1,0,0,0,0
不条理,0,0,0,0,0,1,0,0,0,0
豊富,0,1,1,0,1,1,1,0,0,1
豊富,0,0,0,0,1,0,1,0,0,0
乱用,1,0,1,1,0,1,0,1,0,0
アバットメント,0,0,0,0,0,0,0,0,0,0
アビー,0,0,0,0,0,0,0,0,0,0
ひどい,0,0,0,0,0,1,0,1,0,0
深淵,0,0,0,1,0,1,0,1,0,0
アカデミック,0,0,0,0,0,0,1,0,0,1
学校,0,0,0,0,0,0,1,0,0,0
同意する,0,0,0,0,0,0,0,0,0,0
加速する,0,1,0,0,0,0,0,0,0,0
加速度,0,0,0,0,0,0,0,0,0,0
アクセント,0,0,0,0,0,0,0,0,0,0
強調する,0,0,0,0,0,0,0,0,0,0
受け入れる,0,0,0,0,0,0,0,0,0,0
許容できる,0,0,0,0,0,0,1,0,0,0
受け入れ,0,0,0,0,0,0,1,0,0,0
アクセス,0,0,0,0,0,0,0,0,0,0
アクセシブル,0,0,0,0,0,0,1,0,0,0
加盟,0,0,0,0,0,0,0,0,0,0
アクセサリー,0,0,0,0,0,0,0,0,0,0
事件,0,0,0,1,0,1,0,1,1,0
偶発的な,0,0,0,1,0,1,0,0,1,0
うっかり,0,0,0,0,0,0,0,0,1,0
称賛,0,1,0,0,1,0,1,0,1,1
収容,0,0,0,0,0,0,0,0,0,0
宿泊施設,0,0,0,0,0,0,1,0,0,0
伴奏,0,1,0,0,1,0,1,0,0,1
同行,0,0,0,0,0,0,0,0,0,0
付随の,0,0,0,0,0,0,0,0,0,0
共犯者,0,0,0,0,0,0,0,0,0,0
達成,0,0,0,0,1,0,1,0,0,0
達成した,0,0,0,0,1,0,1,0,0,0
達成,0,0,0,0,0,0,1,0,0,0
アコード,0,0,0,0,0,0,1,0,0,1
一致,0,0,0,0,0,0,0,0,0,0
アコーディオン,0,0,0,0,0,0,0,0,0,0
アカウント,0,0,0,0,0,0,0,0,0,1
説明責任,0,0,0,0,0,0,1,0,0,1
説明責任,0,0,0,0,0,0,1,0,0,1
会計士,0,0,0,0,0,0,0,0,0,1
会計,0,0,0,0,0,0,0,0,0,0
アカウント,0,0,0,0,0,0,0,0,0,1
認定された,0,0,0,0,0,0,1,0,0,1
降着,0,0,0,0,0,0,0,0,0,0
発生する,0,0,0,0,0,0,0,0,0,0
アクイユ,0,0,0,0,0,0,1,0,0,0
たまる,0,0,0,0,0,0,0,0,0,0
