word,Valence,Arousal,Dominance
ああああああ,0.479,0.606,0.291
ああああ,0.52,0.636,0.282
ツチブタ,0.427,0.49,0.437
びっくり,0.385,0.407,0.288
そろばん,0.51,0.276,0.485
アワビ,0.5,0.48,0.412
放棄する,0.052,0.519,0.245
放棄された,0.046,0.481,0.13
放棄,0.128,0.43,0.202
恥ずべき,0.177,0.644,0.307
和らぐ,0.255,0.696,0.604
軽減,0.388,0.338,0.336
アバ,0.562,0.5,0.48
修道院,0.58,0.367,0.444
修道院長,0.427,0.321,0.483
略す,0.531,0.375,0.33
略語,0.469,0.306,0.345
腹部,0.469,0.462,0.471
腹部,0.49,0.456,0.445
拉致,0.173,0.72,0.615
拉致,0.062,0.99,0.673
異常な,0.146,0.765,0.431
収差,0.125,0.816,0.417
停止,0.33,0.51,0.292
嫌う,0.125,0.602,0.349
嫌悪,0.167,0.684,0.42
忌まわしい,0.229,0.75,0.474
従う,0.635,0.354,0.705
従う,0.796,0.327,0.75
能力,0.875,0.51,0.816
卑劣な,0.354,0.59,0.417
アブレーション,0.418,0.5,0.5
燃える,0.24,0.847,0.525
できる,0.786,0.5,0.81
異常な,0.137,0.604,0.309
異常,0.092,0.655,0.383
乗って,0.698,0.284,0.481
住居,0.62,0.302,0.5
廃止する,0.448,0.615,0.529
廃止,0.323,0.69,0.529
忌まわしい,0.12,0.731,0.482
忌まわしい,0.198,0.788,0.366
憎悪,0.078,0.755,0.518
アボリジニの,0.448,0.427,0.542
アボート,0.153,0.686,0.429
中絶,0.082,0.77,0.283
流産,0.09,0.776,0.28
たくさん,0.704,0.49,0.681
前述した,0.541,0.298,0.509
アブラカダブラ,0.673,0.632,0.434
摩耗,0.406,0.592,0.441
研磨材,0.392,0.61,0.593
並んで,0.635,0.38,0.519
外国,0.677,0.596,0.561
廃止する,0.327,0.51,0.594
突然,0.271,0.819,0.545
突然,0.25,0.808,0.556
膿瘍,0.154,0.451,0.349
不在,0.153,0.235,0.266
不在,0.177,0.221,0.116
不在者,0.235,0.33,0.279
欠席主義,0.404,0.273,0.357
アブサン,0.481,0.51,0.462
絶対の,0.526,0.51,0.827
赦免,0.715,0.5,0.664
免除する,0.684,0.449,0.66
吸収する,0.469,0.558,0.67
吸収された,0.49,0.471,0.519
吸収性,0.552,0.394,0.718
吸収する,0.49,0.49,0.578
吸収,0.609,0.422,0.446
控える,0.385,0.385,0.427
棄権,0.271,0.264,0.509
禁欲,0.26,0.392,0.429
概要,0.438,0.292,0.444
抽象化,0.469,0.439,0.525
ばかげた,0.188,0.656,0.284
不条理,0.115,0.528,0.227
豊富,0.812,0.69,0.852
豊富,0.958,0.59,0.76
乱用,0.071,0.873,0.469
虐待された,0.021,0.874,0.235
虐待的な,0.125,0.903,0.567
アバットメント,0.5,0.265,0.616
アビー,0.385,0.452,0.368
ひどい,0.25,0.71,0.598
深淵,0.353,0.725,0.296
アカデミック,0.781,0.42,0.812
学校,0.704,0.473,0.792
同意する,0.698,0.51,0.537
促進剤,0.643,0.844,0.802
加速する,0.615,0.902,0.759
加速,0.61,0.812,0.682
加速度,0.704,0.905,0.843
アクセル,0.593,0.83,0.812
アクセント,0.598,0.357,0.509
強調する,0.673,0.556,0.667
受け入れる,0.847,0.286,0.565
許容できる,0.812,0.286,0.583
受け入れ,0.833,0.287,0.755
受け入れ,0.847,0.413,0.648
アクセス,0.714,0.472,0.567
アクセシブル,0.796,0.41,0.645
加盟,0.612,0.383,0.636
アクセサリー,0.562,0.292,0.445
事件,0.125,0.908,0.336
偶発的な,0.319,0.784,0.307
うっかり,0.333,0.741,0.333
称賛,0.562,0.809,0.718
称賛,0.688,0.591,0.775
収容,0.844,0.375,0.566
宿泊施設,0.817,0.415,0.587
伴奏,0.74,0.479,0.695
同行,0.833,0.406,0.585
付随の,0.787,0.46,0.582
共犯者,0.408,0.58,0.51
達成,0.929,0.673,0.816
達成した,0.87,0.52,0.798
達成,0.917,0.694,0.888
アコード,0.898,0.264,0.382
一致,0.659,0.349,0.6
アコーディオン,0.604,0.49,0.361
アカウント,0.531,0.347,0.472
説明責任,0.755,0.537,0.833
説明責任,0.709,0.282,0.777
会計士,0.625,0.45,0.639
会計,0.552,0.39,0.677
アカウント,0.592,0.34,0.471
認定された,0.669,0.479,0.768
降着,0.448,0.519,0.672
発生する,0.52,0.481,0.602
アクイユ,0.45,0.451,0.47
たまる,0.573,0.536,0.607
累積,0.479,0.527,0.6
正確さ,0.604,0.481,0.802
正確,0.743,0.36,0.737
呪われた,0.135,0.745,0.345
告発,0.073,0.718,0.564
対格,0.198,0.755,0.482
非難する,0.133,0.752,0.5
被告人,0.13,0.67,0.42
告発者,0.122,0.779,0.615
非難する,0.156,0.745,0.324
慣れた,0.542,0.365,0.441
エース,0.643,0.481,0.546
酢酸,0.333,0.42,0.519
アセチレン,0.306,0.469,0.509
痛み,0.146,0.76,0.312
成し遂げる,0.816,0.545,0.843
達成,0.896,0.519,0.775
業績,0.896,0.808,0.759
痛む,0.053,0.88,0.348
痛い,0.167,0.84,0.373
酸,0.265,0.642,0.566
酸度,0.156,0.663,0.36
